Total files are count: 553

 file_number: 1, name: 94.JPG, class: Sadi_pridoniya_sok_vishnya, score: 78.10496687889099% 
 file_number: 67, name: photo_2020-05-11_17-09-33.jpg, class: Leps, score: 93.1425392627716% 

 file_number: 68, name: 158.JPG, class: Plombir_fistashka, score: 94.70595121383667% 

 file_number: 69, name: photo_2020-05-11_17-00-58.jpg, class: MiT_Losev, score: 94.67640519142151% 

 file_number: 70, name: photo_2020-05-11_17-04-29.jpg, class: Leps, score: 98.93950819969177% 

 file_number: 71, name: photo_2020-05-11_17-06-58.jpg, class: Mistral_grechka_farm, score: 98.44196438789368% 

 file_number: 72, name: 60.JPG, class: Sadi_pridoniya_sok_grusha, score: 63.88442516326904% 

 file_number: 73, name: 29.JPG, class: Fruto_nyanya_apple_banana, score: 80.06787300109863% 

 file_number: 74, name: photo_2020-05-11_17-05-01.jpg, class: Bessmertnik, score: 89.4094169139862% 

 file_number: 75, name: photo_2020-05-11_17-12-12.jpg, class: Voda_antipodes, score: 99.62052702903748% 

 file_number: 76, name: 348.JPG, class: Heinz_cheesy_sauce, score: 33.66217017173767% 

 file_number: 77, name: photo_2020-05-11_17-05-24.jpg, class: Noweda, score: 95.02953886985779% 

 file_number: 78, name: 171.JPG, class: Sadi_pridoniya_pure_apple, score: 49.11767244338989% 

 file_number: 79, name: 31.JPG, class: Heinz_kasha_before_sleep, score: 97.10676670074463% 

 file_number: 80, name: 223.JPG, class: Barbaris, score: 70.35207748413086% 

 file_number: 81, name: 17.JPG, class: Muesli_ogo, score: 61.32403612136841% 

 file_number: 82, name: 296.JPG, class: Sangria, score: 42.98269748687744% 

 file_number: 83, name: 340.JPG, class: Koska_halva, score: 87.29437589645386% 

 file_number: 84, name: 208.JPG, class: Fruto_nyanya_apple_banana, score: 25.96813142299652% 

 file_number: 85, name: 268.JPG, class: Heinz_cheesy_sauce, score: 48.47630858421326% 

 file_number: 86, name: 194.JPG, class: Plombir_choco, score: 72.61488437652588% 

 file_number: 87, name: 300.JPG, class: Heinz_fruits_salad, score: 38.18444013595581% 

 file_number: 88, name: 20.JPG, class: Risotto_porcino, score: 43.556803464889526% 

 file_number: 89, name: 43.JPG, class: Koska_delight, score: 71.96484804153442% 

 file_number: 90, name: photo_2020-05-11_16-58-54.jpg, class: MiT_Losev, score: 12.466339021921158% 

 file_number: 91, name: 203.JPG, class: Sensiro_Suru_cream, score: 52.16582417488098% 

 file_number: 92, name: 354.JPG, class: Plombir_choco, score: 92.95572638511658% 

 file_number: 93, name: photo_2020-05-11_16-58-13.jpg, class: Lowen_prise_gold, score: 5.593308806419373% 

 file_number: 94, name: 125.JPG, class: Sensiro_Suru_cream, score: 69.95753049850464% 

 file_number: 95, name: 10.JPG, class: Sangria, score: 49.18411672115326% 

 file_number: 96, name: photo_2020-05-11_17-00-34.jpg, class: MiT_Losev, score: 0.3738929284736514% 

 file_number: 97, name: photo_2020-05-11_17-08-53.jpg, class: Risotto_tartufo, score: 95.485919713974% 

 file_number: 98, name: photo_2020-05-11_17-02-27.jpg, class: MKB_Pogidaev, score: 62.7519428730011% 

 file_number: 99, name: photo_2020-05-11_17-07-42.jpg, class: Chocopie, score: 29.354172945022583% 

 file_number: 100, name: 34.JPG, class: Plombir_choco, score: 83.23752880096436% 

 file_number: 101, name: 77.JPG, class: Adlin, score: 80.3899347782135% 

 file_number: 102, name: 18.JPG, class: Sadaka_tea, score: 59.64632034301758% 

 file_number: 103, name: 163.JPG, class: Baryer, score: 94.64300274848938% 

 file_number: 104, name: 233.JPG, class: Korovka_iz_korenovki_sguchonka, score: 47.74024784564972% 

 file_number: 105, name: 279.JPG, class: Sadi_pridoniya_pure_apple, score: 19.947822391986847% 

 file_number: 106, name: 313.JPG, class: Heinz_apple_pear, score: 36.803269386291504% 

 file_number: 107, name: 51.JPG, class: Vologodskaya_malina, score: 44.58929896354675% 

 file_number: 108, name: photo_2020-05-11_17-00-16.jpg, class: Alfa_bank_Sereda, score: 84.90867614746094% 

 file_number: 109, name: photo_2020-05-11_17-02-37.jpg, class: MiT_Losev, score: 79.2434573173523% 

 file_number: 110, name: 360.JPG, class: Barhatnie_ruchki, score: 63.76854181289673% 

 file_number: 111, name: 345.JPG, class: Sadi_pridoniya_pure_apple, score: 36.905890703201294% 

 file_number: 112, name: photo_2020-05-11_17-01-31.jpg, class: MiT_Matnishyan, score: 54.726314544677734% 

 file_number: 113, name: 107.JPG, class: Fruto_nyanya_apple_banana, score: 77.29326486587524% 

 file_number: 114, name: 316.JPG, class: Risotto_porcino, score: 59.84031558036804% 

 file_number: 115, name: 67.JPG, class: Tide, score: 96.24884128570557% 

 file_number: 116, name: 126.JPG, class: Koska_halva, score: 92.86096096038818% 

 file_number: 117, name: 299.JPG, class: Twix_solty_caramel, score: 16.216833889484406% 

 file_number: 118, name: 146.JPG, class: Plombir_fistashka, score: 94.20141577720642% 

 file_number: 119, name: 118.JPG, class: Dom_v_kotorom, score: 85.06781458854675% 

 file_number: 120, name: 21.JPG, class: Mens_peris, score: 63.77577185630798% 

 file_number: 121, name: photo_2020-05-11_17-07-39.jpg, class: Mistal_ris_indika, score: 81.26149773597717% 

 file_number: 122, name: 84.JPG, class: Barbaris, score: 22.847355902194977% 

 file_number: 123, name: 45.JPG, class: Sadi_pridoniya_sok_grusha, score: 73.06860089302063% 

 file_number: 124, name: photo_2020-05-11_16-58-40.jpg, class: Miratorg, score: 90.77117443084717% 

 file_number: 125, name: 213.JPG, class: Sadi_pridoniya_sok_vishnya, score: 79.78834509849548% 

 file_number: 126, name: photo_2020-05-11_17-00-23.jpg, class: MiT_Matnishyan, score: 33.02270472049713% 

 file_number: 127, name: 142.JPG, class: Vernel, score: 93.98674368858337% 

 file_number: 128, name: 336.JPG, class: Heinz_kasha_before_sleep, score: 67.48809814453125% 

 file_number: 129, name: 66.JPG, class: Voda_Heney_kid_1L, score: 55.561792850494385% 

 file_number: 130, name: 24.JPG, class: Sadi_pridoniya_sok_vishnya, score: 33.07061493396759% 

 file_number: 131, name: photo_2020-05-11_16-59-25.jpg, class: MKB_Filippenkov, score: 54.87459897994995% 

 file_number: 132, name: 166.JPG, class: Mens_peris, score: 17.99350380897522% 

 file_number: 133, name: photo_2020-05-11_17-01-59.jpg, class: MiT_Losev, score: 82.54876732826233% 

 file_number: 134, name: photo_2020-05-11_16-58-44.jpg, class: Miratorg, score: 94.32060718536377% 

 file_number: 135, name: photo_2020-05-11_17-06-18.jpg, class: Mistral_grechka_farm, score: 27.87443697452545% 

 file_number: 136, name: 293.JPG, class: Sadi_pridoniya_sok_vishnya, score: 34.33600962162018% 

 file_number: 137, name: 210.JPG, class: Risotto_porcino, score: 38.743945956230164% 

 file_number: 138, name: 61.JPG, class: Sadi_pridoniya_pure_apple, score: 75.01475811004639% 

 file_number: 139, name: 5.JPG, class: Oil_gretsky_orex, score: 89.19668197631836% 

 file_number: 140, name: photo_2020-05-11_17-01-02.jpg, class: MiT_Losev, score: 1.6952643170952797% 

 file_number: 141, name: 320.JPG, class: Barhatnie_ruchki, score: 90.41410684585571% 

 file_number: 142, name: 329.JPG, class: Dom_v_kotorom, score: 73.46702814102173% 

 file_number: 143, name: 323.JPG, class: Greenfield, score: 14.53528106212616% 

 file_number: 144, name: photo_2020-05-11_17-08-21.jpg, class: Mistal_ris_indika, score: 87.25850582122803% 

 file_number: 145, name: 63.JPG, class: Barbaris, score: 92.01210141181946% 

 file_number: 146, name: 271.JPG, class: Heinz_fruits_pure, score: 66.36182069778442% 

 file_number: 147, name: 245.JPG, class: Cornline_bar, score: 64.43867087364197% 

 file_number: 148, name: photo_2020-05-11_17-12-16.jpg, class: Dolce_Albero_cake, score: 34.461987018585205% 

 file_number: 149, name: 9.JPG, class: Sadi_pridoniya_sok_vishnya, score: 92.8134560585022% 

 file_number: 150, name: 286.JPG, class: Barhatnie_ruchki, score: 33.51640999317169% 

 file_number: 151, name: photo_2020-05-11_16-59-29.jpg, class: Ambrobene_rastvor, score: 24.465076625347137% 

 file_number: 152, name: 178.JPG, class: Plombir_choco, score: 73.42315912246704% 

 file_number: 153, name: photo_2020-05-11_17-09-37.jpg, class: Leps, score: 74.9721348285675% 

 file_number: 154, name: 239.JPG, class: Sadi_pridoniya_pure_apple, score: 65.68325757980347% 

 file_number: 155, name: 346.JPG, class: Heinz_fruits_pure, score: 51.24809741973877% 

 file_number: 156, name: 38.JPG, class: Tide, score: 72.64770865440369% 

 file_number: 157, name: 229.JPG, class: Koska_halva, score: 90.3121292591095% 

 file_number: 158, name: photo_2020-05-11_17-07-58.jpg, class: Chocopie, score: 29.354172945022583% 

 file_number: 159, name: 285.JPG, class: Heinz_cheesy_sauce, score: 40.21245539188385% 

